Source,Target,Weight
Rivervale,Bayshore,17
Jurong Gateway,Newton Circus,5
Bukit Ho Swee,Ghim Moh,14
Phillip,Margaret Drive,6
Guilin,Marina South,5
Braddell,Everton Park,4
Rochor Canal,Mandai East,4
Cairnhill,Farrer Court,3
Hong Kah,Tuas View Extension,14
Kallang Way,Tuas Promenade,8
Plab,Paya Lebar East,3
City Terminals,Lim Chu Kang,4
Kembangan,Sengkang West,4
Institution Hill,Compassvale,3
Kim Keat,Yio Chu Kang East,3
Singapore Polytechnic,Ridout,6
Kallang Bahru,Dairy Farm,7
Xilin,Bukit Batok West,4
Nassim,Penjuru Crescent,3
One North,Senoko South,8
Townsville,Bangkit,5
Jurong Island and Bukom,Wenya,12
Pulau Punggol Timor,Victoria,8
Safti,Hong Kah,3
Katong,Bukit Batok Central,4
Bedok South,Mandai East,5
Kallang Way,Hougang East,5
Somerset,Tengeh,8
Jurong River,Tukang,23
Bedok Reservoir,Hong Kah North,9
Frankel,Senoko West,2
Springleaf,Anak Bukit,1
Serangoon Central,Wenya,3
Saujana,Phillip,4
Pei Chun,Victoria,10
Ghim Moh,Bishan East,9
Queensway,Tiong Bahru,3
Kallang Bahru,Leonie Hill,4
Airport Road,Farrer Park,1
Kampong Glam,Lim Chu Kang,2
Ghim Moh,Teban Gardens,10
Geylang Bahru,Teban Gardens,6
China Square,Springleaf,3
Jurong Port,Bencoolen,1
Tuas Promenade,Yio Chu Kang West,5
Selegie,Yishun South,4
Crawford,Lower Seletar,8
Bendemeer,Lakeside,3
Midview,Lorong Halus,1
Central Water Catchment,Lorong Halus,7
Pulau Punggol Timor,Bendemeer,5
Singapore Polytechnic,Anchorvale,1
Paterson,Saujana,1
Yio Chu Kang West,Newton Circus,6
Greenwood Park,Cheng San,2
Flora Drive,Khatib,3
Coronation Road,Anson,3
Sentosa,Gul Circle,6
West Coast,Toa Payoh West,1
Rivervale,Ghim Moh,3
Rivervale,East Coast,7
Coronation Road,Pasir Ris Wafer Fab Park,2
Pasir Panjang 1,Northland,8
Toa Payoh Central,Jurong Island and Bukom,4
Paya Lebar North,Joo Seng,3
Brickworks,Woodgrove,7
Shangri-La,Kent Ridge,2
West Coast,Singapore Polytechnic,2
Yio Chu Kang North,Tuas View,2
Newton Circus,Upper Paya Lebar,3
Tyersall,Brickworks,1
Wenya,Kangkar,2
Istana Negara,Yio Chu Kang West,5
Maxwell,Institution Hill,1
Teban Gardens,Cheng San,2
Bukit Merah,Central Subzone,1
Teck Whye,Central Subzone,4
Holland Drive,Changi West,2
Tanjong Pagar,Clementi Woods,3
Telok Blangah Drive,Mount Pleasant,5
Leonie Hill,Bedok Reservoir,3
Pulau Punggol Timor,Yuhua West,4
Boulevard,Plab,3
Tuas North,Mei Chin,3
Sungei Road,Shangri-La,1
Senoko North,Clementi Woods,1
Pasir Ris Park,Woodleigh,2
Rochor Canal,Orange Grove,1
Kent Ridge,Teck Whye,2
China Square,Telok Blangah Way,3
Phillip,Central Water Catchment,8
International Business Park,Bayshore,2
Oxley,Paya Lebar North,1
Pasir Ris West,The Wharves,1
Frankel,Shipyard,1
Holland Road,Loyang West,1
Bedok North,Tengah,1
Mandai West,Teck Whye,1
Serangoon North,Senoko West,3
Gombak,Wenya,1
Sembawang East,Swiss Club,2
Mandai Estate,Anchorvale,3
Phillip,Sembawang Straits,1
Selegie,Mount Pleasant,2
Teck Whye,Mountbatten,7
Singapore General Hospital,Dunearn,1
Leonie Hill,Siglap,1
City Terminals,Cheng San,1
Joo Seng,Kampong Tiong Bahru,3
Sembawang Straits,Toa Payoh Central,2
Maxwell,Lower Seletar,1
Tagore,Loyang West,2
Alexandra North,Teban Gardens,1
Jurong Island and Bukom,Punggol Field,2
Kebun Bahru,Teban Gardens,1
Gul Basin,Holland Drive,2
Yio Chu Kang,Institution Hill,1
Sennett,Robertson Quay,1
Woodlands South,Malcolm,1
Tengeh,Redhill,1
Dover,Telok Blangah Way,2
Tuas Bay,Raffles Place,1
Kampong Tiong Bahru,Mount Emily,1
Tuas North,Admiralty,1
Kampong Java,Paterson,1
Serangoon North,Cairnhill,6
Kampong Tiong Bahru,West Coast,2
Changi West,Depot Road,1
Paya Lebar East,National University of S'pore,1
Serangoon North Ind Estate,People's Park,1
Singapore Polytechnic,Chong Boon,2
Sembawang East,Yunnan,3
Trafalgar,The Wharves,1
Yunnan,Monk's Hill,1
Turf Club,Goodwood Park,1
Commonwealth,Benoi Sector,1
Senoko West,Chatsworth,1
Phillip,Seletar Aerospace Park,1
Pei Chun,Henderson Hill,2
Lorong 8 Toa Payoh,Pang Sua,1
Tiong Bahru,Tuas View,1
Central Subzone,International Business Park,1
Dunearn,Ang Mo Kio Town Centre,1
Straits View,Rochor Canal,1
Marina East,Tagore,1
Lavender,Bukit Batok South,40
Pasir Ris Central,Tampines East,647
Victoria,Pearl's Hill,52
Aljunied,Boat Quay,91
Tai Seng,Kaki Bukit,111
Bukit Batok Central,Yishun West,41
Bayshore,Bayshore,334
Tampines West,Trafalgar,57
Tampines East,Pasir Ris Central,664
Fajar,Clementi North,20
Jurong West Central,Yew Tee,135
Sentosa,Telok Blangah Rise,29
Bayshore,East Coast,28
Simei,Mount Emily,2
Tanjong Rhu,Rivervale,57
Changi Point,Fajar,6
Hong Kah North,Henderson Hill,5
Guilin,Somerset,24
Lorong Chuan,Hillcrest,15
Commonwealth,Woodlands East,19
Marina South,Maritime Square,36
Marymount,Shangri-La,95
Bayfront Subzone,Geylang Bahru,9
Swiss Club,Sunset Way,13
North Coast,Yishun East,122
Anak Bukit,Upper Thomson,72
Geylang Bahru,Yio Chu Kang East,8
Cheng San,Yuhua West,7
Crawford,City Terminals,14
Anson,Kangkar,6
Istana Negara,Moulmein,11
Frankel,Changi Airport,186
Bugis,Potong Pasir,29
Tuas View Extension,Bukit Batok Central,9
Bras Basah,Jurong West Central,34
Pei Chun,Upper Thomson,29
Lavender,Hong Kah North,32
Reservoir View,Woodgrove,33
Sentosa,Dairy Farm,7
Kovan,One North,10
Fernvale,Yishun West,94
Straits View,Defu Industrial Park,1
City Terminals,Tuas View,15
Liu Fang,Clarke Quay,5
Clementi Woods,North Coast,16
Yishun West,Mountbatten,17
Seletar Aerospace Park,Sengkang Town Centre,29
Hong Kah North,Yuhua West,78
Woodlands South,Kian Teck,12
Fort Canning,Pasir Ris Drive,39
Northland,Monk's Hill,2
Lakeside,Clementi Central,23
Senoko South,Punggol Field,11
Lavender,Fernvale,61
Boulevard,Kallang Bahru,51
Macpherson,Geylang East,149
Commonwealth,Pei Chun,3
Lavender,Frankel,82
Telok Blangah Drive,Tanjong Rhu,33
Bugis,Toh Guan,14
Mackenzie,Bendemeer,34
Yuhua East,Anchorvale,7
Macpherson,City Hall,49
Bras Basah,Port,5
One North,Marine Parade,16
Sentosa,Sengkang Town Centre,35
Yio Chu Kang,City Terminals,1
Lorong Ah Soo,Dhoby Ghaut,56
Yishun South,Bayshore,6
Ridout,Everton Park,6
Bedok South,Woodlands East,37
Pasir Ris Drive,Jurong Island and Bukom,5
The Wharves,Kovan,3
Yunnan,Little India,18
Chin Bee,Kallang Bahru,23
Balestier,Maritime Square,130
Macpherson,Bangkit,12
Clementi Central,Ulu Pandan,69
Northland,Woodlands West,64
Flora Drive,Cecil,4
Fort Canning,Jelebu,36
Moulmein,Clementi Central,13
Yio Chu Kang,Bedok Reservoir,5
Pasir Ris Central,Flora Drive,42
Yuhua West,Kaki Bukit,22
Ang Mo Kio Town Centre,Tampines East,50
Lorong Halus North,Lorong Ah Soo,2
Samulun,Port,11
Rochor Canal,Woodlands East,14
Benoi Sector,West Coast,4
Hillview,Pandan,5
Trafalgar,Bedok Reservoir,10
Braddell,Xilin,22
Crawford,Lorong Halus,5
Farrer Court,Maritime Square,26
Tampines East,Woodleigh,31
Nee Soon,Loyang West,6
Pasir Ris Central,North-Eastern Islands,31
Central Subzone,One Tree Hill,2
Tampines North,Toa Payoh Central,19
Reservoir View,Boulevard,10
Hillview,Toh Tuck,12
Tengeh,Alexandra Hill,12
Aljunied,Seletar Hills,32
Samulun,Jurong West Central,131
Sembawang Central,Teck Whye,11
Henderson Hill,Boon Lay Place,12
Tanglin,Sunset Way,5
Everton Park,Townsville,12
Loyang West,Nee Soon,11
Bukit Batok South,Gombak,19
Somerset,Woodlands South,27
Cheng San,Bendemeer,16
Kampong Java,Kampong Bugis,13
Kian Teck,International Business Park,9
The Wharves,Yew Tee,5
Pasir Ris Drive,Tai Seng,33
Everton Park,Jurong West Central,31
Gul Basin,Kallang Way,2
Clifford Pier,Balestier,7
Newton Circus,Bukit Merah,2
North-Eastern Islands,Pasir Ris Central,22
Boon Keng,Serangoon Garden,19
Kembangan,Tanjong Pagar,14
Reservoir View,Kampong Tiong Bahru,2
Western Water Catchment,Pasir Ris Central,16
Port,Jurong River,45
One Tree Hill,Mackenzie,7
Bukit Ho Swee,Braddell,19
Lorong 8 Toa Payoh,Woodleigh,19
Pasir Ris Drive,Saujana,8
Kampong Tiong Bahru,Northland,6
Paya Lebar East,Bedok Reservoir,54
Yishun Central,Marina Centre,9
Choa Chu Kang North,Kranji,23
Leedon Park,Kovan,9
Clementi North,Clarke Quay,14
Istana Negara,Woodlands South,9
Swiss Club,Marina East,2
Yio Chu Kang East,Mount Pleasant,5
Pasir Ris Park,Waterway East,9
Hougang Central,Northland,12
Boon Teck,Bukit Batok West,4
Marine Parade,Tiong Bahru Station,17
Mackenzie,Yuhua West,21
Coronation Road,Kian Teck,9
Upper Thomson,Cecil,11
Central Water Catchment,Mount Pleasant,24
Institution Hill,Boon Keng,5
Upper Paya Lebar,Kovan,24
Hong Kah North,Bendemeer,16
Cecil,Rochor Canal,5
Everton Park,Leedon Park,8
Dunearn,Choa Chu Kang Central,7
Farrer Court,Marina Centre,12
Yishun West,Central Subzone,16
Paya Lebar West,Bedok North,8
Mackenzie,Victoria,1
Raffles Place,Lorong Halus,2
Swiss Club,Tengeh,10
Farrer Court,Alexandra North,2
Braddell,Kembangan,14
Depot Road,Toh Guan,5
Pang Sua,West Coast,4
Maritime Square,Mount Pleasant,14
Robertson Quay,Tanglin Halt,7
Central Subzone,Lavender,12
Nassim,Boon Lay Place,12
Ghim Moh,Kent Ridge,9
One North,Yio Chu Kang West,9
Redhill,Hong Kah,13
Balestier,Alexandra North,7
Matilda,Toh Tuck,10
Tiong Bahru,Keat Hong,9
Bras Basah,Townsville,14
Kent Ridge,Pasir Ris Park,1
Bedok South,Ang Mo Kio Town Centre,8
Tuas Promenade,Woodlands South,7
Sentosa,Leonie Hill,9
Choa Chu Kang North,Chatsworth,8
Pandan,Dover,10
Leedon Park,Yew Tee,7
Geylang Bahru,Boon Teck,19
Woodgrove,Clarke Quay,16
Rivervale,Braddell,28
Matilda,Senoko North,8
Greenwood Park,Tuas View,2
Clifford Pier,Yishun Central,2
Waterway East,Bayfront Subzone,21
Jurong River,Kallang Way,3
Pasir Ris Park,Sentosa,8
Punggol Town Centre,Mandai East,4
Teban Gardens,Sembawang North,9
Everton Park,Port,16
One North,Little India,14
Pioneer Sector,Lakeside,10
Bayfront Subzone,Sengkang West,1
Jurong Port,Chin Bee,11
Senoko South,Singapore General Hospital,17
Farrer Park,Faber,3
Clifford Pier,Anson,2
Hillcrest,Potong Pasir,7
Cecil,Bedok North,16
Lorong Chuan,Tuas Promenade,3
Joo Koon,Jurong River,17
Clementi Central,Matilda,13
Yio Chu Kang North,Keat Hong,6
Cheng San,Victoria,29
Pasir Ris Central,Singapore Polytechnic,9
Hong Kah North,Victoria,15
Changi Point,Telok Blangah Drive,3
Jelebu,Dhoby Ghaut,32
Macpherson,Depot Road,2
Cairnhill,Bugis,6
Seletar Hills,Sembawang East,3
Mandai West,Springleaf,1
Leonie Hill,Telok Blangah Way,2
Pasir Ris Central,Toa Payoh West,9
Frankel,Gali Batu,11
Western Water Catchment,Woodleigh,6
Woodlands West,China Square,6
Mandai East,Kovan,3
Choa Chu Kang North,Choa Chu Kang North,24
Telok Blangah Rise,Sentosa,17
Saujana,Serangoon Central,8
Central Water Catchment,Yishun South,21
Margaret Drive,Boon Teck,9
Dhoby Ghaut,Lim Chu Kang,2
Dunearn,Farrer Court,4
Katong,Paya Lebar East,7
Seletar Hills,Bedok South,2
Seletar Aerospace Park,Leonie Hill,1
Jurong West Central,Kovan,11
Dairy Farm,Ghim Moh,8
Kovan,National University of S'pore,12
Yuhua East,Chong Boon,9
Kallang Bahru,Clementi North,7
Sengkang West,Marina South,2
Potong Pasir,Bugis,31
North Coast,Clementi Woods,16
Central Subzone,Kaki Bukit,30
Gul Circle,Pasir Ris West,1
Lorong Halus North,Lavender,4
Potong Pasir,Chin Bee,6
Clementi Central,Reservoir View,6
Lorong Halus,Tyersall,5
Pasir Ris West,Siglap,13
Margaret Drive,Bencoolen,11
Commonwealth,Ang Mo Kio Town Centre,2
Alexandra North,Safti,1
Fernvale,Turf Club,4
Toh Tuck,Rivervale,7
Braddell,Lakeside,5
Pasir Panjang 1,Lim Chu Kang,3
Paya Lebar West,Rochor Canal,1
Paya Lebar East,Siglap,3
Woodlands West,Selegie,1
One Tree Hill,Changi Airport,4
Hillcrest,Toh Guan,15
Nature Reserve,Ghim Moh,9
Tuas Promenade,Macpherson,7
Khatib,Gul Basin,2
Choa Chu Kang North,Kampong Java,30
Boon Keng,Upper Paya Lebar,11
Kranji,Bayfront Subzone,6
Tiong Bahru,One North,16
Tukang,Cecil,1
Geylang Bahru,Kent Ridge,9
Boon Lay Place,Bendemeer,10
Monk's Hill,Punggol Field,3
Pasir Ris Central,Bidadari,5
Choa Chu Kang Central,Bayfront Subzone,13
Jurong River,Tengah,3
Clarke Quay,Taman Jurong,16
Serangoon North Ind Estate,Toh Guan,1
Pandan,Macpherson,3
Clementi West,Braddell,7
Kaki Bukit,Lorong Halus North,3
Cairnhill,Chin Bee,2
Mandai East,Samulun,1
Chinatown,Sungei Road,2
Dunearn,Bencoolen,2
Sembawang Central,Bedok Reservoir,6
Tanjong Pagar,Toh Guan,1
Pandan,Woodlands South,4
Pei Chun,Mandai Estate,1
Yunnan,Yio Chu Kang West,9
Phillip,Hougang Central,3
Yunnan,Marine Parade,13
Compassvale,International Business Park,3
Woodlands East,Northshore,6
Seletar,Seletar Hills,4
Toa Payoh Central,Tuas View,5
Siglap,Paya Lebar East,1
Keat Hong,Everton Park,12
Woodlands South,Simpang North,1
Townsville,Oxley,1
Tuas Promenade,Moulmein,1
Kembangan,Senoko South,9
Moulmein,Serangoon North Ind Estate,5
Tiong Bahru Station,Marina East,3
Chatsworth,Bukit Batok West,1
Trafalgar,Teck Whye,6
Swiss Club,Tuas Bay,1
Pioneer Sector,Kembangan,1
Maxwell,City Terminals,4
Serangoon Garden,Jurong River,9
Yuhua East,Changi West,2
Hillview,Senoko North,3
Telok Blangah Rise,Waterway East,1
Tanjong Pagar,Potong Pasir,7
Changi Point,Bukit Ho Swee,3
Yio Chu Kang North,One North,2
Institution Hill,Bras Basah,11
Ulu Pandan,Braddell,3
Lorong Halus,Holland Drive,4
Jurong River,Tanglin,3
Ghim Moh,Safti,1
Bidadari,Woodleigh,1
Anson,Clifford Pier,2
Sungei Road,Chinatown,2
Monk's Hill,Wenya,1
Kangkar,East Coast,3
Margaret Drive,Yio Chu Kang East,4
Selegie,Tanjong Rhu,2
Bidadari,Pasir Ris Central,1
Pulau Punggol Timor,Upper Thomson,8
Bukit Merah,Seletar,2
Istana Negara,Dover,3
Mandai East,Yew Tee,7
Seletar Hills,Holland Road,3
Pasir Ris West,City Terminals,12
Newton Circus,Hong Kah,4
Western Water Catchment,Paterson,1
Bedok South,Pei Chun,4
Midview,Mount Pleasant,4
Leonie Hill,Springleaf,1
Kampong Ubi,Oxley,2
Lorong Halus,Commonwealth,2
Senoko North,Potong Pasir,4
Serangoon North,Turf Club,4
Nassim,Sungei Road,1
Yishun South,Ghim Moh,6
Mackenzie,Henderson Hill,3
Gul Circle,Tampines North,1
Tuas North,Boat Quay,1
People's Park,Joo Seng,3
Bencoolen,Safti,1
Marina South,Alexandra North,1
Benoi Sector,Tiong Bahru,1
Lorong Chuan,Hougang East,2
Telok Blangah Way,Alexandra North,1
Mount Pleasant,Marina South,2
Marina East,Anchorvale,4
Choa Chu Kang North,Kebun Bahru,5
Yio Chu Kang,Siglap,1
Guilin,Serangoon North Ind Estate,3
Anchorvale,Tengeh,2
Simei,West Coast,3
Yuhua East,Ridout,5
Loyang West,Airport Road,1
Dairy Farm,Bayshore,2
Pandan,Moulmein,1
Chong Boon,Jurong River,5
Sengkang Town Centre,Telok Blangah Way,2
Queensway,Kallang Bahru,1
Tuas Promenade,Dover,3
Tuas View Extension,Serangoon Central,1
National University of S'pore,Gul Basin,1
Pioneer Sector,Xilin,1
Tanjong Rhu,Jurong Port,3
Mountbatten,Turf Club,1
Changi Point,Hillview,3
Pasir Ris Wafer Fab Park,Kampong Bugis,2
Bencoolen,Kent Ridge,1
Farrer Park,Greenwood Park,1
Tiong Bahru Station,Tuas Bay,1
Mount Emily,Anchorvale,1
Sembawang Springs,Everton Park,1
Faber,Pasir Ris West,1
Cheng San,Henderson Hill,2
Frankel,Turf Club,2
Anchorvale,Sunset Way,1
Tanjong Rhu,Changi Bay,1
Kampong Glam,Sembawang North,1
Henderson Hill,Sungei Road,1
Changi West,Oxley,1
Changi Point,Clementi West,1
Senja,Oxley,1
Farrer Court,Hillcrest,27
Lorong 8 Toa Payoh,Waterway East,12
City Terminals,National University of S'pore,14
Admiralty,Northland,76
Kampong Java,Kampong Tiong Bahru,11
Serangoon Central,Pasir Ris West,44
Fernvale,Newton Circus,7
Bayfront Subzone,Taman Jurong,22
Tuas Promenade,Jelebu,14
Boat Quay,Swiss Club,10
Jurong Port,Samulun,44
West Coast,Teban Gardens,54
Mackenzie,Upper Thomson,49
Bedok South,Choa Chu Kang Central,12
Boon Keng,Hong Kah,33
Nassim,Bedok North,60
Lavender,Holland Drive,23
Keat Hong,Lakeside,18
Bendemeer,Western Water Catchment,15
Bishan East,Changi West,4
Woodlands East,Swiss Club,44
Toh Guan,Tiong Bahru,7
Kovan,Bedok Reservoir,22
Boulevard,Fernvale,75
Peng Siang,Yunnan,56
Kian Teck,Lavender,21
Hougang East,Bendemeer,30
Hougang Central,Cheng San,28
Sennett,Potong Pasir,44
Newton Circus,Chatsworth,5
Boulevard,Frankel,116
Tampines East,Waterway East,124
Fernvale,Farrer Park,74
Bishan East,Chong Boon,216
Serangoon Central,Tampines North,19
Chinatown,Bedok North,31
Kranji,Senoko South,32
Gul Circle,Serangoon Garden,5
Yunnan,Moulmein,24
Woodlands Regional Centre,Toa Payoh Central,73
Bedok South,Boon Teck,10
Toa Payoh West,Malcolm,12
Cheng San,Upper Thomson,68
Boat Quay,Yunnan,13
Clementi West,Jurong River,19
North Coast,China Square,12
Kampong Java,Boulevard,59
Woodlands East,Kampong Ubi,99
Lorong Chuan,Sembawang Hills,5
Aljunied,Kangkar,73
Istana Negara,Pasir Ris Drive,10
Holland Drive,Midview,6
Tanjong Rhu,Fort Canning,73
Pei Chun,Sennett,5
Holland Road,Ghim Moh,54
Clementi Central,Yishun West,25
Clementi Woods,Woodlands East,11
Kampong Java,Woodgrove,42
Macpherson,Oxley,5
Yunnan,Woodlands South,19
Western Water Catchment,Sentosa,16
Kallang Way,Macpherson,36
Tampines West,Loyang West,40
Tai Seng,Crawford,17
Holland Drive,Central Water Catchment,12
Woodleigh,North Coast,10
Seletar Aerospace Park,Geylang East,7
Bukit Batok Central,Aljunied,48
Anchorvale,Kim Keat,6
Toh Guan,West Coast,18
Joo Seng,Potong Pasir,91
Kaki Bukit,Tagore,20
Chinatown,Raffles Place,7
Hong Kah North,Upper Thomson,22
Hougang West,Kovan,144
Potong Pasir,Yew Tee,10
Raffles Place,Yishun South,23
North-Eastern Islands,Seletar Aerospace Park,1
Upper Thomson,Kangkar,37
Hillview,Jurong Gateway,104
Fort Canning,Tuas North,2
Yuhua West,Crawford,11
Maritime Square,Tanjong Rhu,98
Singapore Polytechnic,Midview,7
Bukit Batok Central,Raffles Place,18
Lower Seletar,Matilda,45
Tampines East,Sentosa,85
Holland Drive,Balestier,26
Kampong Ubi,Guilin,9
Marina East,Katong,16
Bedok South,Bencoolen,44
Kian Teck,Kaki Bukit,12
Mountbatten,Farrer Park,31
Choa Chu Kang Central,Woodlands West,21
One North,Moulmein,15
Simei,Northland,32
Commonwealth,Choa Chu Kang Central,21
Henderson Hill,Bedok North,14
Upper Paya Lebar,Rivervale,49
Frankel,Farrer Park,40
Balestier,Marymount,177
Northland,Yio Chu Kang West,21
Bedok South,Farrer Court,3
One Tree Hill,Holland Road,17
Taman Jurong,Jurong Island and Bukom,80
Newton Circus,Kampong Java,14
Fort Canning,Redhill,27
Pasir Panjang 2,Telok Blangah Rise,5
Northland,Marine Parade,20
Tanjong Rhu,Nassim,46
Little India,Paterson,3
Peng Siang,Kampong Ubi,24
Jurong West Central,Rivervale,19
Taman Jurong,Tai Seng,11
Sentosa,Clementi North,29
Bendemeer,Sembawang Central,22
Bedok North,Malcolm,9
Hougang Central,Tai Seng,29
Chinatown,Paya Lebar North,1
Balestier,Hougang East,34
Woodlands East,Yunnan,49
Yishun South,Braddell,17
Sembawang Central,Springleaf,15
Punggol Town Centre,Bishan East,9
Teban Gardens,National University of S'pore,20
Bedok North,Bukit Batok West,16
Senoko South,Pasir Panjang 1,3
Ulu Pandan,Jurong River,4
Tuas View,Balestier,6
Pasir Panjang 2,Dairy Farm,5
Orange Grove,Hillview,11
International Business Park,Gul Basin,1
Sembawang Straits,City Hall,5
Jurong Port,Yew Tee,7
Teban Gardens,One North,18
Punggol Town Centre,Pei Chun,3
Crawford,Mount Pleasant,7
Tampines West,Khatib,22
Tyersall,Bayfront Subzone,9
Yishun Central,Hillcrest,2
Sungei Road,Yio Chu Kang,2
Trafalgar,Springleaf,10
Waterway East,Woodlands West,6
Newton Circus,Kranji,3
Clementi West,Gul Basin,6
Orange Grove,Bukit Ho Swee,13
Chin Bee,Hong Kah North,11
Tiong Bahru,Teck Whye,8
Kembangan,Tengeh,9
Toa Payoh Central,Keat Hong,12
Crawford,Yishun South,20
Sembawang East,Bayfront Subzone,3
Gombak,Pasir Ris West,2
Tukang,Bayshore,8
Loyang West,Cairnhill,4
Paya Lebar North,Balestier,13
Defu Industrial Park,Xilin,13
National University of S'pore,International Business Park,14
Airport Road,Toa Payoh Central,3
Paya Lebar North,Anson,1
Anak Bukit,Pang Sua,6
Woodlands West,Bukit Batok Central,25
Paya Lebar North,Pasir Ris Wafer Fab Park,17
Upper Paya Lebar,Tanglin Halt,4
Kovan,City Terminals,15
Tanglin Halt,Bras Basah,6
Istana Negara,Jelebu,2
Changi Point,Mountbatten,10
Midview,Tanjong Rhu,21
Kranji,Woodlands West,38
Port,Tanglin Halt,7
Yio Chu Kang East,Tanjong Rhu,6
Jurong Gateway,Toa Payoh Central,46
Compassvale,Kaki Bukit,44
Singapore Polytechnic,Yishun Central,2
Ridout,Clarke Quay,10
Lorong Chuan,Woodlands Regional Centre,9
Pasir Ris Park,Istana Negara,4
Senja,Guilin,40
Tengeh,Tampines West,16
Boat Quay,Leedon Park,6
Serangoon North,Farrer Park,20
Boon Keng,Bukit Merah,8
Kembangan,Tuas Bay,2
Sembawang Hills,Peng Siang,3
Joo Seng,Toh Guan,12
Keat Hong,Kembangan,13
Orange Grove,Fajar,15
Lavender,Tyersall,28
Woodlands Regional Centre,Greenwood Park,14
Hougang West,Yew Tee,13
Yio Chu Kang West,Toa Payoh Central,31
Hougang East,Marina East (MP),2
Lorong Ah Soo,Northshore,8
Dunearn,Chin Bee,2
Changi Airport,Northshore,8
Institution Hill,Cairnhill,5
Marina South,Marymount,10
Hong Kah,Joo Seng,17
Matilda,Yio Chu Kang North,3
Boulevard,Hong Kah North,38
Depot Road,Tuas View Extension,1
Bras Basah,Tampines West,34
Bukit Batok South,Trafalgar,9
Kim Keat,Yew Tee,8
Greenwood Park,The Wharves,4
Alexandra Hill,Guilin,29
Hong Kah North,Mandai Estate,2
Lorong 8 Toa Payoh,Sentosa,14
Woodlands West,Lorong Halus North,1
Dhoby Ghaut,Sembawang North,10
Bangkit,Kaki Bukit,22
Bukit Batok Central,Newton Circus,7
Punggol Field,Tiong Bahru,12
Chong Boon,Tanglin Halt,5
Sembawang North,Kebun Bahru,11
Anak Bukit,Sennett,3
City Terminals,One North,3
Institution Hill,Coronation Road,9
Yio Chu Kang West,Gul Circle,1
Punggol Field,West Coast,3
City Hall,Lorong Halus North,4
Tai Seng,Maxwell,1
Yuhua East,Katong,3
Yishun East,Greenwood Park,14
Defu Industrial Park,Hougang West,20
Punggol Town Centre,Ang Mo Kio Town Centre,8
Queensway,Bukit Batok South,7
Chin Bee,Frankel,6
Tanglin Halt,Boon Keng,6
Trafalgar,Pasir Ris Park,22
Tagore,Bayshore,5
Jurong West Central,Jurong Port,20
Yio Chu Kang West,Pulau Punggol Timor,6
Kembangan,Little India,30
Peng Siang,Swiss Club,8
One North,Woodlands South,13
Taman Jurong,Saujana,18
Little India,Pasir Ris Central,18
Central Water Catchment,Tanjong Rhu,6
One Tree Hill,Bedok South,7
Marina South,Tuas Promenade,9
Pasir Ris Wafer Fab Park,Boulevard,9
Nature Reserve,Braddell,4
Jurong Island and Bukom,Pasir Ris West,3
