Source,Target,Weight
Chin Bee,Paterson,1
Goodwood Park,Lorong 8 Toa Payoh,2
Sembawang Central,Goodwood Park,2
Chatsworth,Bukit Batok Central,1
Pasir Ris Wafer Fab Park,Yuhua West,1
Farrer Park,Shipyard,1
Boon Keng,Sunset Way,1
Swiss Club,The Wharves,1
Pasir Panjang 2,International Business Park,1
The Wharves,Serangoon Garden,1
Samulun,Everton Park,1
Boon Teck,Lorong Halus North,1
Aljunied,Jurong Port,1
Turf Club,Sentosa,2
Bidadari,Guilin,1
Queensway,Katong,1
Gul Basin,Clementi Woods,2
Malcolm,Gombak,1
Sembawang Springs,Institution Hill,1
Pang Sua,Changi West,1
North-Eastern Islands,Guilin,1
Hougang East,Gul Circle,1
Port,Orange Grove,1
Teck Whye,Hougang East,1
Telok Blangah Rise,Sungei Road,1
International Business Park,Seletar,1
Paya Lebar North,Phillip,1
Tengah,The Wharves,1
Benoi Sector,Anchorvale,1
Tiong Bahru,Plab,1
Queensway,Paterson,1
Kovan,People's Park,1
Benoi Sector,Changi West,1
Woodlands Regional Centre,Cairnhill,7
Hougang West,Serangoon Garden,194
Khatib,Bishan East,59
