subzone,cases,normalize by sum,normalize by max,population,pop_density,lon,lat,area
Woodleigh,0,0,0,2440,2798.318881,103.8656077,1.339576806,0.817326521
Xilin,0,0,0,1920,1387.788916,103.9683352,1.331939107,7.871890221
Yew Tee,0,0,0,43710,23161.50569,103.7478413,1.400860926,0.927707974
Yio Chu Kang,0,0,0,30,22.15697158,103.8459368,1.384564118,0.913841205
Yio Chu Kang East,0,0,0,4080,1036.806408,103.8524769,1.384095432,1.870929356
Yio Chu Kang North,0,0,0,0,0,103.8459856,1.392755128,1.470403374
Yio Chu Kang West,0,0,0,26550,13382.42477,103.8394762,1.38242791,0.850255237
Yishun Central,0,0,0,1490,1205.650262,103.8379054,1.426654778,0.438498957
Yishun East,3,0.004310345,0.028571429,54880,16380.05009,103.846851,1.42781558,1.775721115
Yishun South,0,0,0,38840,41275.56624,103.8373529,1.418543529,1.346707449
Yishun West,47,0.067528736,0.447619048,57890,479410.1974,103.8305861,1.4323868,1.525180515
Yuhua East,0,0,0,27460,11485.41252,103.7396755,1.339642619,0.929241802
Yuhua West,0,0,0,20870,16804.81761,103.7326745,1.347333341,0.779902584
Yunnan,0,0,0,70890,9280.555933,103.6947034,1.344953692,2.21698768
